Date ,Rank 1,Rank 2,Rank 3
2/18/23,Facebook,Messenger,Netflix
2/19/23,Gallery,Messenger,Instagram
2/20/23,Facebook,Messenger,Gallery
2/21/23,Facebook,Instagram,Gallery
2/22/23,Facebook,Banking,Instagram
2/23/23,Facebook,Camera,Gallery
2/24/23,Gallery,Facebook,WhatsApp
2/25/23,Facebook,Gallery,Messenger
2/26/23,Facebook,YouTube,Messenger
2/27/23,Messenger,Gallery,YouTube
2/28/23,Chrome,Messenger,Instagram
3/1/23,Facebook,Gallery,Messenger
3/2/23,Gallery,Messenger,Gmail
3/3/23,Messenger,Facebook,Banking
3/4/23,Gallery,Chrome,Messenger
3/5/23,Facebook,Messenger,Chrome
3/6/23,Facebook,Messenger,Gallery
3/7/23,Facebook,Messenger,Gallery
3/8/23,Gallery,Camera,Messenger
3/9/23,Facebook,Gallery,Gmail
3/10/23,Chrome,Camera,Instagram
3/11/23,Facebook,Camera,Gallery
3/12/23,Facebook,WhatsApp,Camera
3/13/23,Facebook,Gallery,Chrome
3/14/23,Facebook,WhatsApp,Gallery
3/15/23,Camera,Facebook,Gallery
3/16/23,Facebook,Gallery,Spotify
3/17/23,Gallery,Facebook,Instagram
3/18/23,Messenger,Facebook,Gallery
3/19/23,Facebook,Messenger,Gallery
3/20/23,Facebook,Messenger,Gallery
